年月日,名前,項目,内容
S40.2.17,服部伸朗,生年月日,
S40.3.23,今岡孝朗,生年月日,
S50.6.26,橋本正朗,生年月日,
S50.7.20,原淳夫朗,生年月日,
S53.3.3,大和田朗,生年月日,
S53.3.12,川上貴朗,生年月日,
S57.8.29,竹下義朗,生年月日,
S58.2.25,冨田里朗,生年月日,
S58.7.11,金子英朗,生年月日,
S58.8.1,深澤慎朗,生年月日,
S59.9.28,谷口太朗,生年月日,
S61.3.18,國本崇朗,生年月日,
H2.11.21,大福ひ朗,生年月日,
H8.8.10,森山杏朗,生年月日,
H9.7.3,藤原駿朗,生年月日,
H13.6.6,吉田悠朗,生年月日,
H14.1.13,錦織誠朗,生年月日,
H14.8.15,大島浩朗,生年月日,
H15.3.26,佐野瑞朗,生年月日,
H15.10.24,三成皓朗,生年月日,
H15.12.27,藤原叶朗,生年月日,
H29.6.1,勝部正朗,就農地（予定）,知井宮町
H29.6.1,勝部正朗,就農年月(予定含),就農
R1.5.1,ＪＡい朗,農業経営者育成協定,締結
R1.5.1,（株）朗,農業経営者育成協定,締結
R1.5.1,神田農朗,農業経営者育成協定,締結
R1.5.1,ＪＡい朗,経営部門(主な品目),ぶどう、水稲
R1.5.1,（株）朗,経営部門(主な品目),きゅうり、大根
R1.5.1,神田農朗,経営部門(主な品目),アスパラガス、葉物野菜
R1.11.1,森山智朗,就農地（予定）,神西新町
R1.11.1,森山智朗,就農年月(予定含),就農
R2.1.1,藤間正朗,就農年月(予定含),就農
R2.1.1,藤間正朗,就農年月(予定含),就農
R2.3.1,方地孝朗,就農年月(予定含),就農
R2.4.1,（株）朗,農業経営者育成協定,締結
R2.4.1,（株）朗,農業経営者育成協定,締結
R2.4.1,（株）朗,経営部門(主な品目),水稲、大豆
R2.4.1,（株）朗,経営部門(主な品目),タマネギ、ブロッコリー
R2.4.1,福島克朗,就農年月(予定含),就農
R2.11.1,栗本剛朗,就農,
R2.11.1,栗本剛朗,経営部門(主な品目),ぶどう
R2.11.1,栗本剛朗,ロードマップ,〇
R2.11.1,栗本剛朗,農業部担当者,内田
R3.2.1,川上勝朗,就農,
R3.2.1,川上勝朗,経営部門(主な品目),ぶどう
R3.2.1,川上勝朗,ロードマップ,〇
R3.2.1,川上勝朗,農業部担当者,内田
R3.2.1,川上勝朗,就農年月(予定含),就農
R3.3.1,神田颯朗,就農,
R3.3.1,神田颯朗,経営部門(主な品目),きゅうり
R3.3.1,神田颯朗,ロードマップ,
R3.3.1,神田颯朗,農業部担当者,長南
R3.3.1,深津健朗,就農,
R3.3.1,深津健朗,経営部門(主な品目),水稲
R3.3.1,深津健朗,ロードマップ,〇
R3.3.1,深津健朗,農業部担当者,野田
R3.3.1,深津健朗,就農年月(予定含),就農
R3.3.16,山田郁朗,就農,
R3.3.16,山田郁朗,経営部門(主な品目),アスパラガス
R3.3.16,山田郁朗,ロードマップ,〇
R3.3.16,山田郁朗,農業部担当者,小村
R3.3.17,柳楽達朗,就農,
